"","x"
"1","JCHAIN"
"2","IGKC"
"3","CCL4L2"
"4","IGHA1"
"5","MTRNR2L12"
"6","IL1B"
"7","MT2A"
"8","IGLC2"
"9","HSPA1A"
"10","CCL4"
"11","PTGDS"
"12","CCL3"
"13","IGHG1"
"14","AZU1"
"15","CXCL8"
"16","NRGN"
"17","HSPA6"
"18","FCGBP"
"19","GNG11"
"20","IGLC3"
"21","G0S2"
"22","S100A9"
"23","MZB1"
"24","S100A8"
"25","TIMP1"
"26","CD74"
"27","IFI27"
"28","CXCL2"
"29","PLIN2"
"30","AREG"
"31","HSPA1B"
"32","HPGD"
"33","THBS1"
"34","HMOX1"
"35","LYZ"
"36","IFNG"
"37","CLU"
"38","IGHM"
"39","RHOB"
"40","RGS18"
"41","MT1E"
"42","RETN"
"43","FTL"
"44","CST3"
"45","DERL3"
"46","S100A12"
"47","ACRBP"
"48","MT1X"
"49","TSC22D1"
"50","IER3"
"51","PRKAR2B"
"52","FTH1"
"53","EREG"
"54","CDKN1C"
"55","HIST1H2AC"
"56","FCER1A"
"57","CTSL"
"58","GNLY"
"59","SGK1"
"60","NFKBIA"
"61","RGS1"
"62","S100B"
"63","PLAUR"
"64","VCAN"
"65","IL1RN"
"66","TNF"
"67","CTSB"
"68","LMNA"
"69","XCL1"
"70","ZFP36"
"71","CD14"
"72","HSPB1"
"73","IFITM3"
"74","FOS"
"75","MYL9"
"76","TREML1"
"77","FCN1"
"78","ALDOA"
"79","FOLR2"
"80","GLUL"
"81","XCL2"
"82","MMP19"
"83","F13A1"
"84","TNFAIP2"
"85","GZMB"
"86","HILPDA"
"87","CDKN1A"
"88","PTGS2"
"89","MYOM2"
"90","TNFRSF4"
"91","SOD2"
"92","MARCO"
"93","MS4A1"
"94","CA2"
"95","SPARC"
"96","SOX4"
"97","SAT1"
"98","LST1"
"99","MARCKS"
"100","GZMK"
"101","KLF4"
"102","MAP3K7CL"
"103","MNDA"
"104","ISG15"
"105","EGR1"
"106","C5AR1"
"107","LGALS3"
"108","APOBEC3A"
"109","CTSS"
"110","ADM"
"111","MS4A7"
"112","NAMPT"
"113","LGMN"
"114","SLC25A37"
"115","NKG7"
"116","ATP6V0C"
"117","RGS16"
"118","IFIT2"
"119","LAG3"
"120","SERPINB2"
"121","MS4A4A"
"122","CD79A"
"123","NEAT1"
"124","CFD"
"125","BCL2A1"
"126","MAFB"
"127","NPC2"
"128","IFIT1"
"129","JUN"
"130","FCGR2B"
"131","MKI67"
"132","CD9"
"133","PTX3"
"134","RGCC"
"135","FOSB"
"136","THBD"
"137","NLRP3"
"138","FGFBP2"
"139","CENPF"
"140","RASD1"
"141","CD68"
"142","ATF3"
"143","DAB2"
"144","PPP1R15A"
"145","TRDC"
"146","LGALS1"
"147","AIF1"
"148","SPON2"
"149","MS4A6A"
"150","FCGR3A"
"151","BANK1"
"152","RNASE2"
"153","GADD45B"
"154","MCEMP1"
"155","CLEC5A"
"156","NR4A1"
"157","CTSD"
"158","CEBPD"
"159","CCL5"
"160","H1F0"
"161","SERPINA1"
"162","SNCA"
"163","FBP1"
"164","KLRC1"
"165","STMN1"
"166","LGALS2"
"167","CD83"
"168","GAPDH"
"169","CTTN"
"170","GZMH"
"171","KLRB1"
"172","TMCC2"
"173","TMEM176B"
"174","NEXN"
"175","IFIT3"
"176","MSR1"
"177","TGFBI"
"178","TOP2A"
"179","RGS2"
"180","TNFRSF18"
"181","IFI30"
"182","PSAP"
"183","FCER1G"
"184","FCGR1A"
"185","FABP5"
"186","RALGPS2"
"187","CSTB"
"188","ASPM"
"189","DUSP1"
"190","PRF1"
"191","STAB1"
"192","CXCL16"
"193","TYROBP"
"194","HIST1H3H"
"195","KLRC2"
"196","CYP1B1"
"197","DUSP4"
"198","PHLDA1"
"199","BLVRB"
"200","VEGFA"
"201","PLBD1"
"202","PDK4"
"203","DNAJB1"
"204","CD1C"
"205","CLIC3"
"206","HK2"
"207","PDGFA"
"208","TYMP"
"209","HSPH1"
"210","ALOX5AP"
"211","RUFY1"
"212","FGL2"
"213","SERPINH1"
"214","CSTA"
"215","HIST1H2BJ"
"216","CD79B"
"217","CPVL"
"218","STEAP4"
"219","HBEGF"
"220","CSF1R"
"221","PLD4"
"222","BHLHE41"
"223","INSIG1"
"224","S100P"
"225","FCGR2A"
"226","NFKBIZ"
"227","PLEK"
"228","KLRF1"
"229","ACSL1"
"230","IFITM1"
"231","S100A11"
"232","GRN"
"233","DUSP6"
"234","TRGC2"
"235","KLRD1"
"236","ITM2C"
"237","TYMS"
"238","CMC1"
"239","SRGN"
"240","MMD"
"241","SLC11A1"
"242","SERPINF1"
"243","MARCKSL1"
"244","TUBA1B"
"245","TRIM58"
"246","GZMA"
"247","TNFRSF9"
"248","TMEM176A"
"249","NCOA4"
"250","MTURN"
"251","CD36"
"252","PHLDA2"
"253","CLEC12A"
"254","CYBB"
"255","IL3RA"
"256","CSF3R"
"257","KLF6"
"258","TNFAIP3"
"259","VCL"
"260","DUSP2"
"261","SLC2A3"
"262","CD300E"
"263","ICAM1"
"264","IFI6"
"265","RAB27B"
"266","IRF8"
"267","S100A10"
"268","AQP9"
"269","ZFAND5"
"270","RTKN2"
"271","TREM1"
"272","FFAR2"
"273","FPR1"
"274","TCF4"
"275","MPEG1"
"276","S100A6"
"277","AP1S2"
"278","MIF"
"279","ZFAND2A"
"280","OSM"
"281","ID3"
"282","ZNF683"
"283","GSN"
"284","FXYD2"
"285","CST7"
"286","ATF5"
"287","PCDH9"
"288","ZFP36L1"
"289","LIMS1"
"290","IER2"
"291","CD8B"
"292","TNFRSF13C"
"293","IGSF6"
"294","CKB"
"295","LINC00926"
"296","GABARAP"
"297","HES4"
"298","VIM"
"299","IL7R"
"300","NR4A2"
"301","CEBPB"
"302","TNFSF13"
"303","SPI1"
"304","CLEC7A"
"305","BASP1"
"306","CD24"
"307","KCTD12"
"308","CD22"
"309","CX3CR1"
"310","NREP"
"311","NCF1"
"312","MAP3K8"
"313","BAG3"
"314","CDA"
"315","PLCG2"
"316","HMMR"
"317","NCF2"
"318","MEF2C"
"319","GPR183"
"320","LAIR2"
"321","TNNT1"
"322","TRGC1"
"323","FOLR3"
"324","CFP"
"325","PLXDC2"
"326","CTSW"
"327","HOPX"
"328","TNFSF13B"
"329","CCND1"
"330","TNFSF4"
"331","YWHAH"
"332","CPM"
"333","LILRB2"
"334","PELI1"
"335","FCGRT"
"336","CXCR6"
"337","HMBS"
"338","FAM129C"
"339","TRAV17"
"340","PGRMC1"
"341","EGR3"
"342","COTL1"
"343","IRF7"
"344","NMB"
"345","GMPR"
"346","ACTB"
"347","HSP90B1"
"348","CYB5D2"
"349","IRF4"
"350","MPP1"
"351","CTDSPL"
"352","SERPING1"
"353","STXBP2"
"354","IL2RB"
"355","LTB"
"356","EGR2"
"357","CAPG"
"358","KLF10"
