"","protein_name","training_epoch"
"1","B7-H4",45
"2","C5L2",31
"3","Cadherin",31
"4","Cadherin11",31
"5","CCR10",52
"6","CD10",47
"7","CD102",48
"8","CD103",69
"9","CD105",31
"10","CD106",74
"11","CD107a",74
"12","CD109",199
"13","CD110",49
"14","CD112",51
"15","CD115",31
"16","CD117",42
"17","CD119",31
"18","CD11a",150
"19","CD11a-CD18",31
"20","CD11b",56
"21","CD11c",89
"22","CD122",66
"23","CD123",37
"24","CD124",31
"25","CD126",46
"26","CD127",84
"27","CD13",69
"28","CD133",35
"29","CD134",31
"30","CD135",31
"31","CD137",35
"32","CD137L",31
"33","CD138",36
"34","CD14",54
"35","CD140a",31
"36","CD140b",31
"37","CD141",53
"38","CD142",44
"39","CD144",38
"40","CD146",37
"41","CD15",38
"42","CD150",57
"43","CD151",54
"44","CD152",38
"45","CD154",31
"46","CD155",33
"47","CD158",40
"48","CD158b",81
"49","CD158e1",140
"50","CD158f",31
"51","CD16",110
"52","CD161",63
"53","CD162",166
"54","CD163",38
"55","CD164",42
"56","CD169",40
"57","CD171",31
"58","CD172a",91
"59","CD177",66
"60","CD178",31
"61","CD18",67
"62","CD183",40
"63","CD184",32
"64","CD185",46
"65","CD186",31
"66","CD19",52
"67","CD192",31
"68","CD193",31
"69","CD194",87
"70","CD195",58
"71","CD196",45
"72","CD197",42
"73","CD198",55
"74","CD199",31
"75","CD1a",31
"76","CD1c",57
"77","CD1d",47
"78","CD2",83
"79","CD20",67
"80","CD200",32
"81","CD201",31
"82","CD202b",43
"83","CD203c",31
"84","CD204",34
"85","CD205",34
"86","CD206",40
"87","CD207",31
"88","CD209",108
"89","CD21",69
"90","CD218a",76
"91","CD22",65
"92","CD223",31
"93","CD226",67
"94","CD23",51
"95","CD230",35
"96","CD235a",56
"97","CD235ab",81
"98","CD24",41
"99","CD243",31
"100","CD244",60
"101","CD25",58
"102","CD252",31
"103","CD253",31
"104","CD254",32
"105","CD257",36
"106","CD26",101
"107","CD267",31
"108","CD268",32
"109","CD269",31
"110","CD27",123
"111","CD270",31
"112","CD271",35
"113","CD272",55
"114","CD273",35
"115","CD274",61
"116","CD275",53
"117","CD276",59
"118","CD277",31
"119","CD278",66
"120","CD279",70
"121","CD28",63
"122","CD284",31
"123","CD29",80
"124","CD294",31
"125","CD3",56
"126","CD30",31
"127","CD301",31
"128","CD303",31
"129","CD304",37
"130","CD305",63
"131","CD307c",43
"132","CD307d",31
"133","CD307e",136
"134","CD309",31
"135","CD31",95
"136","CD314",82
"137","CD319",31
"138","CD32",138
"139","CD324",43
"140","CD325",146
"141","CD326",31
"142","CD33",65
"143","CD331",122
"144","CD335",42
"145","CD336",31
"146","CD337",38
"147","CD338",52
"148","CD34",57
"149","CD340",31
"150","CD341",89
"151","CD35",112
"152","CD354",46
"153","CD357",53
"154","CD36",62
"155","CD361",153
"156","CD365",31
"157","CD366",44
"158","CD370",73
"159","CD371",57
"160","CD38",95
"161","CD381",191
"162","CD39",62
"163","CD4",197
"164","CD40",43
"165","CD41",60
"166","CD42b",54
"167","CD43",57
"168","CD44",74
"169","CD45",60
"170","CD45R",62
"171","CD45RA",97
"172","CD45RB",42
"173","CD45RO",60
"174","CD46",37
"175","CD47",58
"176","CD48",60
"177","CD49a",76
"178","CD49b",64
"179","CD49d",62
"180","CD49E",62
"181","CD49f",65
"182","CD5",108
"183","CD52",56
"184","CD54",50
"185","CD55",57
"186","CD56",51
