"","surface_protein_gene"
"1","DRD2"
"2","CFTR"
"3","RAB3A"
"4","SLC34A1"
"5","RET"
"6","CDC42"
"7","ALPL"
"8","CDH2"
"9","ADA"
"10","ATP1A2"
"11","LPL"
"12","FSHR"
"13","APP"
"14","ROCK2"
"15","CTNNA1"
"16","TRBC2"
"17","ESYT2"
"18","ESYT3"
"19","IGLC7"
"20","SLC5A10"
"21","CLRN2"
"22","ARHGAP10"
"23","IRGM"
"24","ANO9"
"25","FAM168B"
"26","PXDNL"
"27","CCDC78"
"28","TMEM131L"
"29","TGFBR2"
"30","PSD"
"31","HTR3E"
"32","MEGF11"
"33","IZUMO1R"
"34","PALM3"
"35","TMEM8B"
"36","TRABD2B"
"37","TCAF2"
"38","MFSD2B"
"39","MYMK"
"40","LILRA5"
"41","SHISA7"
"42","IFITM5"
"43","CD300LB"
"44","CLCA1"
"45","GABRR3"
"46","KCNU1"
"47","PIG59"
"48","MYO1G"
"49","FBXW7-AS1"
"50","OXTR"
"51","SMIM1"
"52","PLB1"
"53","TARM1"
"54","KCNJ18"
"55","KLRF2"
"56","SLCO1B3-SLCO1B7"
"57","PRKCE"
"58","SGK1"
"59","FZD9"
"60","GPR25"
"61","MYO1C"
"62","SNAP23"
"63","HAX1"
"64","FXYD1"
"65","KCNK1"
"66","STXBP3"
"67","TLR4"
"68","RHOD"
"69","APBB1"
"70","HAS3"
"71","TNFRSF10A"
"72","GRM8"
"73","BMPR1B"
"74","SIRPB1"
"75","F2RL2"
"76","GPR31"
"77","TULP1"
"78","CLIC1"
"79","SLC28A1"
"80","SLC1A7"
"81","PDE2A"
"82","CCRL2"
"83","PIK3C2A"
"84","GFRA2"
"85","AGRN"
"86","SLC17A3"
"87","BTN3A3"
"88","BTN3A1"
"89","BIN1"
"90","CLDN5"
"91","KRIT1"
"92","UPK2"
"93","CHL1"
"94","DLL1"
"95","CACNA1A"
"96","SDCBP"
"97","DDX3X"
"98","CXCR6"
"99","ACKR2"
"100","GABRP"
"101","PODXL"
"102","FCN1"
"103","PIK3C2B"
"104","DLGAP1"
"105","SH2B2"
"106","CLDN4"
"107","PLPP1"
"108","PLPP3"
