"","x"
"1","B7-H4"
"2","CD103"
"3","CD10"
"4","CD117"
"5","CD11a"
"6","CD11b"
"7","CD11c"
"8","CD123"
"9","CD124"
"10","CD126"
"11","CD127"
"12","CD133"
"13","CD134"
"14","CD137"
"15","CD138"
"16","CD13"
"17","CD141"
"18","CD14"
"19","CD152"
"20","CD154"
"21","CD155"
"22","CD163"
"23","CD16"
"24","CD178"
"25","CD183"
"26","CD184"
"27","CD185"
"28","CD18"
"29","CD194"
"30","CD195"
"31","CD196"
"32","CD197"
"33","CD19"
"34","CD1a"
"35","CD1c"
"36","CD206"
"37","CD20"
"38","CD21"
"39","CD223"
"40","CD226"
"41","CD235ab"
"42","CD24"
"43","CD25"
"44","CD26"
"45","CD270"
"46","CD272"
"47","CD273"
"48","CD274"
"49","CD275"
"50","CD278"
"51","CD279"
"52","CD27"
"53","CD28"
"54","CD29"
"55","CD2"
"56","CD30"
"57","CD314"
"58","CD324"
"59","CD326"
"60","CD32"
"61","CD335"
"62","CD336"
"63","CD33"
"64","CD34"
"65","CD357"
"66","CD371"
"67","CD38"
"68","CD39"
"69","CD3"
"70","CD40"
"71","CD45RA"
"72","CD45"
"73","CD46"
"74","CD49E"
"75","CD49a"
"76","CD49b"
"77","CD49d"
"78","CD4"
"79","CD54"
"80","CD56"
"81","CD5"
"82","CD61"
"83","CD62L"
"84","CD69"
"85","CD7"
"86","CD80"
"87","CD81"
"88","CD83"
"89","CD86"
"90","CD8"
"91","CD90"
"92","CD94"
"93","CD95"
"94","CD98"
"95","CD99"
"96","CD9"
"97","CD319"
"98","Disialoganglioside-GD2"
"99","HLA-ABC"
"100","IL-21R"
"101","IgD"
"102","IgG"
"103","TCRab"
"104","TCRgd"
"105","CD366"
"106","CD41"
"107","CD71"
"108","CD331"
"109","CD341"
"110","HLA-DR"
"111","CD64"
"112","CD381"
"113","CD361"
"114","CD931"
"115","CD91"
"116","TIGIT"
"117","CD161"
"118","CD66b"
"119","KLRG1"
"120","CD254"
"121","CD15"
"122","TCR-Vd2"
"123","CD304"
"124","CD107a"
"125","CD276"
"126","CD137L"
"127","CD112"
"128","CD70"
"129","CD48"
"130","CD277"
"131","CD52"
"132","CD269"
"133","CD105"
"134","CD201"
"135","CD49f"
"136","CD45RO"
"137","IgG2a-Mouse-k"
"138","IgG2b-Mouse-k"
"139","IgG2b-Rat-k"
"140","CD294"
"141","CD45R"
"142","CD31"
"143","CD44"
"144","Podoplanin"
"145","CD140a"
"146","CD140b"
"147","Cadherin11"
"148","EGFR"
"149","CD340"
"150","CD146"
"151","IgM"
"152","CD1d"
"153","CD35"
"154","CD57"
"155","CD58"
"156","CD96"
"157","CD79b"
"158","CD66a-c-e"
"159","CD244"
"160","CD169"
"161","CD370"
"162","XCR1"
"163","Notch-1"
"164","IntegrinB7"
"165","CD268"
"166","CD42b"
"167","CD62P"
"168","CD119"
"169","ERK1"
"170","Notch3"
"171","IgG1-Rat-k"
"172","IgG2a-Rat-k"
"173","IgG-Hamster"
"174","CD192"
"175","CD102"
"176","CD106"
"177","CD122"
"178","CD267"
"179","CD62E"
"180","IRF4"
"181","CD135"
"182","FceRIa"
"183","CD43"
"184","CD59"
"185","CD309"
"186","CD303"
"187","CD177"
"188","CD55"
"189","TSLPR"
"190","CD22"
"191","CD193"
"192","CD115"
"193","CD204"
"194","CD144"
"195","CD301"
"196","CD207"
"197","CD63"
"198","CD284"
"199","CD36"
"200","CD172a"
"201","CD85g"
"202","CD243"
"203","CD72"
"204","CD158"
"205","MERTK"
"206","FolateReceptorBeta"
"207","Tim-4"
"208","CD171"
"209","CD230"
"210","CD325"
"211","DopamineReceptorD4"
"212","GABRB3"
"213","TMEM119"
"214","CD93"
"215","CD338"
"216","C5L2"
"217","CD235a"
"218","CD73"
"219","CD79a"
"220","mastCellTryptase"
"221","TCR-Va7-2"
"222","TCR-Vg9"
"223","TCR-Va24-Ja18"
"224","CD354"
"225","CD202b"
"226","CD305"
"227","LOX-1"
"228","CD158b"
"229","CD203c"
"230","CD209"
"231","CD110"
"232","CD158e1"
"233","CD158f"
"234","CD337"
"235","CD253"
"236","CD186"
"237","CD205"
"238","CD271"
"239","CD109"
"240","CD11a-CD18"
"241","CD164"
"242","CD142"
"243","CD307c"
"244","CD307d"
"245","CD307e"
"246","CD199"
"247","CD45RB"
"248","CD151"
"249","CD218a"
"250","CD257"
"251","CLEC1B"
"252","IgE"
"253","CD365"
"254","CD150"
"255","CD162"
"256","Ig-lightChainK"
"257","Mac2"
"258","CD85j"
"259","CD23"
"260","Ig-lightChainλ"
"261","HLA-A2"
"262","CD198"
"263","GARP"
"264","NKp80"
"265","Rat-IgG1-1"
"266","TCR-2"
"267","TCR-V-9"
"268","Siglec-8"
"269","Rat-IgG2b"
"270","VEGFR-3"
"271","Galectin-9"
"272","Rat-IgG1-2"
"273","CX3CR1"
"274","GP130"
"275","Folate"
"276","Rag-IgG2c"
"277","Cadherin"
"278","CD200"
"279","TCR-1"
"280","TCR-V-7-2"
"281","TCR-V-2"
"282","CCR10"
"283","Notch-2"
"284","CD68"
"285","CD252"
"286","TCR-V-24-J-18"
"287","Integrin-7"
"288","CLEC2"
"289","CD47"
