,gene
0,A1BG
1,AAAS
2,AACS
3,AAGAB
4,AAK1
5,AAMDC
6,AAMP
7,AAR2
8,AARS
9,AARS2
10,AARSD1
11,AASDH
12,AASDHPPT
13,AASS
14,AATBC
15,AATF
16,AATK
17,ABAT
18,ABCA1
19,ABCA2
20,ABCA3
21,ABCA5
22,ABCA7
23,ABCB1
24,ABCB10
25,ABCB4
26,ABCB7
27,ABCB8
28,ABCB9
29,ABCC1
30,ABCC10
31,ABCC3
32,ABCC4
33,ABCC5
34,ABCC6
35,ABCD1
36,ABCD2
37,ABCD3
38,ABCD4
39,ABCE1
40,ABCF1
41,ABCF3
42,ABCG1
43,ABHD1
44,ABHD10
45,ABHD11
46,ABHD12
47,ABHD13
48,ABHD14A
49,ABHD14B
50,ABHD15
51,ABHD16A
52,ABHD17A
53,ABHD17B
54,ABHD17C
55,ABHD18
56,ABHD2
57,ABHD3
58,ABHD4
59,ABHD5
60,ABHD6
61,ABHD8
62,ABI1
63,ABI2
64,ABI3
65,ABL1
66,ABL2
67,ABLIM1
68,ABR
69,ABRACL
70,ABT1
71,ABTB1
72,AC023590.1
73,AC058791.1
74,AC105760.2
75,AC133644.2
76,AC144652.1
77,AC240274.1
78,ACAA1
79,ACAA2
80,ACACA
81,ACACB
82,ACAD10
83,ACAD11
84,ACAD8
85,ACAD9
86,ACADM
87,ACADS
88,ACADSB
89,ACADVL
90,ACAP1
91,ACAP2
92,ACAP3
93,ACAT1
94,ACAT2
95,ACBD3
96,ACBD4
97,ACBD5
98,ACBD6
99,ACCS
100,ACD
101,ACE
102,ACER3
103,ACIN1
104,ACKR3
105,ACLY
106,ACO1
107,ACO2
108,ACOT13
109,ACOT2
110,ACOT4
111,ACOT7
112,ACOT8
113,ACOT9
114,ACOX1
115,ACOX3
116,ACP1
117,ACP2
118,ACP5
119,ACP6
120,ACPP
121,ACRBP
122,ACSF2
123,ACSF3
124,ACSL1
125,ACSL3
126,ACSL4
127,ACSL5
128,ACSL6
129,ACSM3
130,ACSS1
131,ACSS2
132,ACTA2
133,ACTB
134,ACTG1
135,ACTL10
136,ACTL6A
137,ACTN1
138,ACTN4
139,ACTR10
140,ACTR1A
141,ACTR1B
142,ACTR2
143,ACTR3
144,ACTR3B
145,ACTR3C
146,ACTR5
147,ACTR6
148,ACTR8
149,ACVR1
150,ACVR1B
151,ACVR2A
152,ACVR2B
153,ACYP1
154,ACYP2
155,ADA
156,ADAL
157,ADAM10
158,ADAM12
159,ADAM15
160,ADAM17
161,ADAM19
162,ADAM28
163,ADAM8
164,ADAM9
165,ADAMTS10
166,ADAMTS6
167,ADAMTSL4
168,ADAP1
169,ADAP2
170,ADAR
171,ADARB1
172,ADAT1
173,ADAT2
174,ADCK1
175,ADCK2
176,ADCK5
177,ADCY3
178,ADCY4
179,ADCY7
180,ADCY9
181,ADD1
182,ADD3
183,ADGRA3
184,ADGRE1
185,ADGRE2
186,ADGRE3
187,ADGRE5
188,ADGRG1
189,ADGRG5
190,ADGRL1
191,ADH5
192,ADHFE1
193,ADI1
194,ADIPOR1
195,ADIPOR2
196,ADK
197,ADM
198,ADNP
199,ADNP2
200,ADO
201,ADPGK
202,ADPRH
203,ADPRHL2
204,ADPRM
205,ADRB2
206,ADRM1
207,ADSL
208,ADSS
209,ADSSL1
210,ADTRP
211,AEBP1
212,AEBP2
213,AEN
214,AES
215,AFAP1L2
216,AFF1
217,AFF3
218,AFF4
219,AFG3L2
220,AFMID
221,AFTPH
222,AGA
223,AGAP1
224,AGAP2
